"id","parent","folder","name","mark_del","id_1c","base","code"
3653,"6627fedc-2824-11e8-bf4f-14dae924ceec",false,Брак в производстве 2013 -2014год,false,"6627fedd-2824-11e8-bf4f-14dae924ceec",UPP_BUH,""
3660,"6627ff0a-2824-11e8-bf4f-14dae924ceec",false,Аренда производственных площадей и оборудования ,false,"6627ff18-2824-11e8-bf4f-14dae924ceec",UPP_BUH,""
3667,"64cb8c3e-9c62-11e2-b907-14dae924ceec",false,"Энергоресурсы, отопление, вода",false,"6c2213a9-2824-11e8-bf4f-14dae924ceec",UPP_BUH,""
3674,bd96b715-2748-11e8-bf4f-14dae924ceec,false,Полуфабрикаты собственного производства У00000522,false,"84849139-6bc0-11ed-bfd7-14dae924ceec",UPP_BUH,""
3680,c3904847-2748-11e8-bf4f-14dae924ceec,false,Амортизация общепроизводственных ОС и оснастки,false,"6919e364-7541-11ed-bfd7-14dae924ceec",UPP_BUH,""
3469,"6627fedc-2824-11e8-bf4f-14dae924ceec",false,Контроль качества 2020-1,false,b46e9269-b9e9-11ea-802c-14dae924ceec,UPP_BUH,""
3481,"58a90171-8c12-11e9-a918-14dae924ceec",false,Амортизация складского оборудования,false,b1e4e37b-b65a-11e8-86a1-14dae924ceec,UPP_BUH,""
3493,"",true,Удалено,true,"87474c3b-5b51-11e8-9972-14dae924ceec",UPP_BUH,""
3505,c98b4aa9-2748-11e8-bf4f-14dae924ceec,false,"Контроль качества СТО: входной, операционный, приемочный",false,caf1c7bb-5b52-11e8-9972-14dae924ceec,UPP_BUH,""
3517,ff6f119b-2748-11e8-bf4f-14dae924ceec,false,Обучение персонала,false,cb5710d5-5dce-11e8-9972-14dae924ceec,UPP_BUH,""
3529,ff6f119b-2748-11e8-bf4f-14dae924ceec,false,"Затраты на ПО, BI,лицензии, электронные сервисы и подписки",false,"03292718-8b1c-11ec-a90d-14dae924ceec",UPP_BUH,""
3540,"58a90171-8c12-11e9-a918-14dae924ceec",false,Вывоз мусора,false,"493caaf9-cd6b-11ed-ae60-fc15b494e95f",UPP_BUH,""
3549,"6627ff0a-2824-11e8-bf4f-14dae924ceec",false,"Прочие расходы для обеспечения производства, в т.ч. хознужды, уборка (26 счет)",false,"836ca626-dd29-11ed-ae60-fc15b494e95f",UPP_BUH,""
3558,"64cb8c7e-9c62-11e2-b907-14dae924ceec",false,Налоги и сборы по зарплате (ЕСН и т.д.) участка комплектации,false,"7e10fad7-fec4-11ed-ae60-fc15b494e95f",UPP_BUH,""
3567,bd96b710-2748-11e8-bf4f-14dae924ceec,true,Расходы на логистику товаров и ГП до склада,false,a99793ba-d714-11ee-ae71-fc15b494e95f,UPP_BUH,""
3575,ac479f01-ec29-11ee-ae73-fc15b494e95f,false,"Страхование транспорта, тех. и мед. осмотры, ТО, настройка оборудования",false,ac479f05-ec29-11ee-ae73-fc15b494e95f,UPP_BUH,""
3582,c39048b8-2748-11e8-bf4f-14dae924ceec,false,Затраты на транспорт производственных сотрудников,false,d9fdd75b-1448-11ef-ae73-fc15b494e95f,UPP_BUH,""
3590,"64cb8c36-9c62-11e2-b907-14dae924ceec",true,Оплата прочих коммерческих затрат,false,"64cb8c4d-9c62-11e2-b907-14dae924ceec",UPP_BUH,""
3597,"64cb8c7e-9c62-11e2-b907-14dae924ceec",false,"Зарплата, больничные, отпуска, бонусы, премия, материальная помощь участка комплектации",false,"64cb8c81-9c62-11e2-b907-14dae924ceec",UPP_BUH,""
